序号,分类,子类型,场景名称(标题),功能名(featureName),描述(desc),标签(tag),行业(industry),角色(role),meta,图片URL(image)
30,AI 应用,AI 节点,故障自动检测与响应,AI 智能运维,线上系统出现异常时，AI 自动检测告警、分析根因、创建事故单并通知值班人员，缩短故障发现到响应的时间，让 MTTR 大幅降低。,AI 应用,汽车,研发,故障检测 · 自动响应,https://aka.doubaocdn.com/s/RHeb6ZPb6p
31,插件,,工时可视化管理,工时资源管理,连接人力资源与运营成本，工时填报、审批、统计与多维分析，帮助企业实现工时结构优化与可视化管理。已服务暗物智能、容知日新。,插件,互联网,项目经理,工时填报 · 审批流 · 度量集成,https://aka.doubaocdn.com/s/xp9OXVoroJ
32,插件,,外部工单一步直达,ITSM · 工单通,客户通过服务门户提交工单后，自动创建为飞书项目工作项并分配处理人，审批流、SLA 管控、客户管理全部打通，内外流程闭环。,插件,互联网,运营,服务门户 · SLA · 客户管理,https://aka.doubaocdn.com/s/v4SlwPsMLp
33,插件,,合同风险自动审查,合同审核,法务上传合同后，AI 自动识别条款风险、输出风险清单和修改建议，减少人工重复核查，让法务聚焦于高价值判断。,插件,金融,高管,AI 合同审查 · 风险识别,https://aka.doubaocdn.com/s/DJabXgkph8
34,插件,,项目文件统一管理,文件资源管理,项目文件集中管理、异步上传、权限配置与统一检索，告别文件散落在各个群聊和私聊中的混乱状态，保障文档安全与团队协作规范。,插件,互联网,研发,文件管理 · 权限 · 检索,https://aka.doubaocdn.com/s/tUbGFPE0HP
35,插件,,客户对接人关系图,组织架构,将客户对接人按层级关系可视化呈现，同步基础信息与协作态度，帮助团队快速掌握关键对接情况，避免信息断层。,插件,互联网,销售,客户对接 · 可视化,https://aka.doubaocdn.com/s/zzGxuB5SRN
36,插件,,企业信息自动补全,企业信息补全,录入客户时自动查询企业名称、统一社会信用代码、地址等工商信息，减少手动录入与重复数据，让销售专注于客户沟通而非填表。,插件,金融,销售,自动补全 · 工商信息,https://aka.doubaocdn.com/s/TYVL9Q4ue4
37,插件,,代码提交自动关联任务,GitLab 关联,开发提交代码合并后，对应的飞书项目任务自动流转到「已完成」状态，Branch、Commit、MR 全部关联，研发进展自动同步，无需手动更新。,插件,互联网,研发,GitLab · 代码关联 · 自动流转,https://aka.doubaocdn.com/s/a3S9pUgsCz
38,插件,,测试全流程管理,测试管理,在飞书项目中管理测试计划、测试用例和用例执行，与需求/缺陷联动，测试覆盖率一目了然，交付质量有据可查。,插件,互联网,测试,测试计划 · 用例 · 缺陷关联,https://aka.doubaocdn.com/s/4aq4bPu6nT
39,插件,,高级审批流程定制,审批流增强,在飞书项目原生审批基础上扩展自定义审批节点、条件分支、会签/或签、加签/转审等高级能力，满足企业复杂审批场景需求。,插件,金融,高管,自定义审批 · 条件分支 · 会签,https://aka.doubaocdn.com/s/v4SlwPsMLp
40,插件,,表格数据自动同步,多维表格同步,飞书多维表格与项目数据双向同步，表格中新增记录自动创建工作项，项目字段变更实时回写表格，告别手动复制粘贴。,插件,互联网,运营,双向同步 · 多维表格 · 自动化,https://aka.doubaocdn.com/s/tUbGFPE0HP
41,插件,,聊天消息一键转任务,飞书消息集成,在群聊中讨论的需求或 Bug，一键转为飞书项目工作项，消息自动归档，避免重要信息淹没在聊天记录中。,插件,互联网,运营,消息关联 · 一键建单 · 归档,https://aka.doubaocdn.com/s/6FMpoubekD
42,插件,,多平台代码关联,代码仓库集成,支持 GitHub、GitLab、Gitee 等多平台代码仓库关联，Commit/PR/MR 自动关联工作项，代码合入自动流转状态，研发全流程可追溯。,插件,互联网,研发,多平台 · 代码关联 · 自动流转,https://aka.doubaocdn.com/s/a3S9pUgsCz
43,轻应用,,项目管理驾驶舱,自定义仪表盘,把项目关键指标聚合到一页，OKR 实时追踪、迭代定容率监控、风险自动预警，数据驱动决策。字节跳动团队使用后，定容率从 60% 提升至 85%。,轻应用,互联网,高管,OKR 追踪 · 定容率 · 风险预警,https://aka.doubaocdn.com/s/eJ8PGwRWqP
44,轻应用,,多维效能仪表盘,数据仪表盘,交付速度、缺陷密度、人力负载、需求吞吐量等关键效能指标实时可见，支持多项目对比和趋势分析。影石团队用于全局研发效能监控。,轻应用,消费电子,高管,效能指标 · 多项目对比 · 趋势分析,https://aka.doubaocdn.com/s/eJ8PGwRWqP
45,轻应用,,会议联动汇报,会议驾驶舱,会议议题与项目数据打通，会前自动生成议题材料，会后自动跟踪决议执行。振东健康使用后，会前准备提效 80%+，问题跟踪率从 50% 提升至 100%。,轻应用,医疗,项目经理,会议驾驶舱 · 项目仪表盘 · 决议跟踪,https://aka.doubaocdn.com/s/0nXXG4tA4C
46,轻应用,,多角色定制看板,私人看板,不同角色看到不同视图，开发只看自己的任务，测试只看待测项，管理者看全局。智己汽车使用后，员工检索任务时间减少 80%。,轻应用,汽车,项目经理,私人看板 · 全局看板 · 角色视图,https://aka.doubaocdn.com/s/0nXXG4tA4C
47,轻应用,,个人项目主页,个人工作台,一人一页，我的工作、待办事项、关联项目、代码提交全部聚合到一个页面，无需在多个页面间切换。字节跳动团队用于个人工作聚焦。,轻应用,互联网,研发,个人主页 · 工作聚合 · 待办,https://aka.doubaocdn.com/s/ooagTcxEzq
48,轻应用,,周期性数据报告,报告生成,周报、月报、需求月报自动生成，数据同源、口径一致，告别手动统计和 PPT 粘贴。海尔团队用于部门需求月报和交付周报的自动化生成。,轻应用,制造,项目经理,周报 · 月报 · 数据同源,https://aka.doubaocdn.com/s/AozhGGSMfz
49,轻应用,,产研数据速报,数据推送,每日自动推送关键产研指标到飞书群，包括需求吞吐量、缺陷关闭率、迭代进度，让团队无需打开系统即可掌握产研脉动。福建紫讯团队用于日常数据同步。,轻应用,互联网,运营,每日推送 · 关键指标 · 飞书群,https://aka.doubaocdn.com/s/eJ8PGwRWqP
50,轻应用,,空间导览,空间导航,项目空间直观导航，新成员快速上手，了解项目结构、工作流和关键文档位置。福建紫讯团队用于提升新成员入职效率。,轻应用,互联网,产品经理,空间导航 · 新手上手 · 工作流,https://aka.doubaocdn.com/s/ooagTcxEzq
51,轻应用,,空间主页升级,智能主页,空间首页升级为智能数据仪表盘，展示项目关键指标、最新动态和待办提醒。振东健康团队用于空间首页的数据化改造。,轻应用,医疗,运营,智能仪表盘 · 动态展示 · 待办提醒,https://aka.doubaocdn.com/s/eJ8PGwRWqP
52,轻应用,,项目系统门户,系统门户,All in one 一站式工作台，嵌入 BI 看板、监控大盘、外部系统链接，让成员无需切换系统即可完成日常工作。CHIPONE 团队用于打造统一的工作入口。,轻应用,消费电子,研发,一站式工作台 · BI 嵌入 · 系统集成,https://aka.doubaocdn.com/s/0nXXG4tA4C
53,轻应用,,系统域迭代管理,迭代视图,系统域迭代、版本进度、需求范围一目了然，支持多系统域并行迭代规划和进度跟踪。海尔团队用于多系统域迭代管理。,轻应用,制造,研发,多系统域 · 迭代规划 · 进度跟踪,https://aka.doubaocdn.com/s/AozhGGSMfz
54,轻应用,,测试管理驾驶舱,测试仪表盘,测试覆盖率、缺陷趋势、用例执行进度、质量趋势全貌实时可见，帮助测试团队快速定位质量风险。星河智联团队用于测试管理可视化。,轻应用,汽车,测试,测试覆盖率 · 缺陷趋势 · 质量趋势,https://aka.doubaocdn.com/s/CvvUzmrizE
55,轻应用,,项目组合管理(PPM),项目组合仪表盘,多项目全局视图，资源冲突自动预警，项目优先级对比一目了然。元戎启行团队用于多项目组合的全局管控。,轻应用,汽车,高管,多项目 · 资源冲突 · 优先级对比,https://aka.doubaocdn.com/s/eJ8PGwRWqP
56,轻应用,,部门需求月报,需求统计,需求吞吐量、交付周期、需求来源分布、趋势分析自动生成，数据同源、口径一致，支撑部门月度复盘。海尔团队用于需求管理的数据化。,轻应用,制造,项目经理,需求吞吐量 · 交付周期 · 趋势分析,https://aka.doubaocdn.com/s/AozhGGSMfz
57,轻应用,,全局指挥调度中心,调度大屏,实时状态、风险预警、人员调度、关键里程碑一体化展示，适合挂在大屏或飞书群置顶，让团队随时掌握全局动态。影石团队用于研发指挥调度。,轻应用,消费电子,高管,实时状态 · 风险预警 · 人员调度,https://aka.doubaocdn.com/s/eJ8PGwRWqP
58,模板,,反馈全流程追踪管理,,反馈提交→自动分类→关联需求→排期交付→满意度回访，全链路标准化管理。按 Bug/需求/咨询自动分配处理人，设置 SLA 节点时限。,模板,互联网,运营,8 工作项 · 23 视图,https://aka.doubaocdn.com/s/AUcePtjwKE
59,模板,,Agile 敏捷开发流程,,项目→Feature→User Story→任务的层级拆解，配合迭代燃尽图、人力负载视图和周期时间度量。内置测试管理与变更管理插件。,模板,互联网,研发,12 工作项 · 32 视图 · 2 插件,https://aka.doubaocdn.com/s/0wv5NeJQZV
60,模板,,版本-需求管理,,通过版本→需求的拆解模式管理产研项目，打通用户反馈到研发排期的信息链路。推荐百人以上产研团队使用。,模板,互联网,产品经理,需求 / 缺陷 / 版本,https://aka.doubaocdn.com/s/4mGVIFUyDK
61,模板,,游戏项目管理,,由里程碑、版本、迭代、需求、缺陷 6 种工作项组成，覆盖立项、美术、开发、测试到发版的全流程。支持多版本并行开发。,模板,游戏,项目经理,6 工作项 · 24 视图,https://aka.doubaocdn.com/s/ArL2yQUYvj
62,模板,,内容制作全流程,,覆盖创意收集、选题管理、素材沉淀、内容创作、分发与复盘，帮助团队规范协作流程，提升内容生产效率和素材复用率。,模板,零售,运营,内容策划 · 创作 · 分发 · 复盘,https://aka.doubaocdn.com/s/Luby22MrZG
63,模板,,创作者运营中心,,覆盖视频制作和直播两大场景，策划→脚本→拍摄→剪辑→发布→复盘全流程颗粒度拆解，支持多平台数据复合字段对比复盘。,模板,零售,运营,11 工作项 · 25 视图,https://aka.doubaocdn.com/s/hYfl2K2xZW
64,模板,,交付管理,,覆盖 ToB 企业项目交付全流程，包含项目交付、需求、客户管理、销售、反馈管理等模块，支持多项目并行管控。,模板,制造,项目经理,5 工作项类型,https://aka.doubaocdn.com/s/DE8pZhm3tf
65,模板,,软件研发管理,,覆盖需求、任务、缺陷、迭代、测试、代码与发布全流程，支持多角色协同、质量数据追踪、迭代节奏管理和版本发布闭环。,模板,互联网,研发,研发全流程 · 质量追踪,https://aka.doubaocdn.com/s/VZTRKnLuq8
66,模板,,硬件研发管理,,覆盖硬件产品从概念设计、EVT/DVT/PVT 到量产上市的全流程，包含 BOM 管理、ECN 变更、供应商协同和合规认证节点。,模板,消费电子,研发,EVT/DVT/PVT · BOM · ECN,https://aka.doubaocdn.com/s/QxaATLdCmE
67,模板,,市场营销活动管理,,活动策划→预算审批→物料准备→执行监控→效果评估→复盘优化全流程管理，支持多活动并行和跨部门协作。,模板,零售,销售,活动策划 · 执行监控 · 效果复盘,https://aka.doubaocdn.com/s/Luby22MrZG
68,模板,,客户成功管理,,覆盖客户 Onboarding 引导、健康度监控、续约管理、增购机会追踪，通过健康度评分卡和 QBR 节点实现客户全生命周期管理。,模板,互联网,销售,Onboarding · 健康度 · 续约管理,https://aka.doubaocdn.com/s/DE8pZhm3tf
69,模板,,采购管理,,供应商管理、采购申请、招标比价、合同签订、验收付款全流程标准化，支持多级审批和预算管控，让采购过程透明合规。,模板,制造,高管,供应商 · 招标 · 合同 · 验收,https://aka.doubaocdn.com/s/Gkf92x6XVm
70,解决方案,,软件产研项目管理流程,,沉淀自飞书项目团队自身实践，设立商业化、用户反馈、产研交付三大空间，实现从客户需求到产品规划再到研发交付的全生命周期管理。已服务安克创新、理想汽车、蔚来。,解决方案,互联网,项目经理,三空间联动 · 效能度量,https://aka.doubaocdn.com/s/ebOpIFhcqU
71,解决方案,,DSTE 战略到执行,,标准化从订单评审到最终交付的全流程，透明化过程节点和责任人。通过看板和度量查看多项目进度分布，支撑制造企业统筹项目。,解决方案,汽车,高管,四层管理 · 战略穿透,https://aka.doubaocdn.com/s/SKsuRCgviU
72,解决方案,,OTD 从订单到交付,,基于 SAFe 框架设计，支持敏捷团队开展 PI Planning 全流程管理，通过 ART 看板、团队看板和依赖报告，实现跨团队规划与协同。,解决方案,制造,项目经理,制造业 · 订单-交付全流程,https://aka.doubaocdn.com/s/Gkf92x6XVm
73,解决方案,,规模化敏捷（SAFe）,,以 AI 为核心引擎，打通线索、商机、签约、交付到回款全流程，融入客户录入、方案推荐、合同归档、风险预警和 BI 看板等场景。,解决方案,互联网,项目经理,SAFe · PI Planning,https://aka.doubaocdn.com/s/RsuyzVTI8C
74,解决方案,,翼云销 LTC 解决方案,,飞书项目 × Zadig，打通需求、开发、自测、测试到生产发布全流程，在飞书内触发构建、部署、测试与审批，自动同步状态。,解决方案,金融,销售,AI · LTC · 销售管理,https://aka.doubaocdn.com/s/Bx4o2nVU1J
75,解决方案,,Zadig DevOps 一体化,,面向消费电子、汽车等复杂硬件研发场景，结合 IPD 方法论与飞书项目流程引擎，提供从产品规划到量产上市的全流程管理。,解决方案,互联网,研发,DevOps · CI/CD,https://aka.doubaocdn.com/s/fmZ0vuIoJR
76,解决方案,,IPD 集成产品开发,,加速整车研发流程，覆盖智能驾驶、三电系统、车身底盘等多域协同，支持全景泳道图、协同计划表、评审管理。已服务丰田、阿维塔、Momenta。,解决方案,消费电子,研发,IPD · 硬件研发,https://aka.doubaocdn.com/s/QxaATLdCmE
77,解决方案,,整车研发解决方案,,门店管理、供应链协同、营销活动、会员运营一体化数字解决方案，打通门店终端到总部管理，实现零售全渠道数字化管控。,解决方案,汽车,研发,整车 · 多域协同,https://aka.doubaocdn.com/s/PhboG3Udcq
78,解决方案,,零售数字化运营,,覆盖监管合规跟踪、内控审计、风险管控、制度管理等场景，建立合规事项闭环，确保金融业务在监管框架内稳健运行。,解决方案,零售,销售,零售 · 门店 · 供应链 · 会员,https://aka.doubaocdn.com/s/Bx4o2nVU1J
79,解决方案,,金融合规管理,,覆盖课程研发、教学质量评估、学员进度管理和师资管理，支持多校区协同和标准化教研流程，提升教育机构运营效率与教学质量。,解决方案,金融,高管,合规 · 内控 · 审计 · 制度,https://aka.doubaocdn.com/s/DJabXgkph8
80,解决方案,,教育教研管理,,面向临床试验、医疗器械研发和合规认证场景，支持多中心协同、受试者管理、数据监查和监管申报，让医疗项目流程严谨合规。,解决方案,教育,运营,课程研发 · 教学质量 · 学员管理,https://aka.doubaocdn.com/s/hYfl2K2xZW
81,解决方案,,医疗项目管理,,,解决方案,医疗,项目经理,临床试验 · 器械研发 · 合规认证,https://aka.doubaocdn.com/s/PhboG3Udcq
82,AI 应用,AI 节点,需求描述自动补全,AI 智能填单,新建需求时，AI 根据标题自动补全背景描述、验收标准等字段，减少重复录入，提升需求质量。,AI 应用,互联网,产品经理,智能填单 · 需求补全,https://aka.doubaocdn.com/s/IMKcg667UN
83,AI 应用,AI 操作,缺陷报告自动生成,AI 缺陷报告,测试发现问题后，AI 根据截图和简要描述自动生成完整的缺陷报告，包含复现步骤、预期结果和严重度评估。,AI 应用,互联网,测试,缺陷报告 · 自动补全,https://aka.doubaocdn.com/s/CvvUzmrizE
84,AI 应用,AI 节点,客户信息自动补全,AI 信息补全,录入客户/线索时，AI 自动查询并补全企业名称、信用代码、地址等工商信息，减少手动录入。,AI 应用,金融,销售,客户信息 · 自动补全,https://aka.doubaocdn.com/s/TYVL9Q4ue4
85,AI 应用,AI 操作,合同关键信息提取,AI 文档解析,上传合同文件后，AI 自动提取金额、期限、违约责任等关键条款，结构化录入到工作项字段。,AI 应用,金融,销售,合同解析 · 条款提取,https://aka.doubaocdn.com/s/DJabXgkph8
86,AI 应用,AI 节点,需求评审自动检查,AI 合规审计,需求提交评审前，AI 自动检查是否满足评审标准：描述完整、验收标准明确、附件齐全，不符合的自动驳回。,AI 应用,互联网,项目经理,评审检查 · 合规审计,https://aka.doubaocdn.com/s/DJabXgkph8
87,AI 应用,AI 节点,代码提交合规检查,AI 代码审查,代码提交时，AI 自动检查是否关联需求、是否通过 Review、是否包含测试，不合规的自动拦截。,AI 应用,互联网,研发,代码审查 · 合规拦截,https://aka.doubaocdn.com/s/a3S9pUgsCz
88,AI 应用,AI 节点,设计稿规范自动检查,AI 设计审查,设计师提交设计稿后，AI 自动检查组件库一致性、间距规范、色彩规范，标注问题并给出修改建议。,AI 应用,消费电子,设计,设计规范 · 组件一致性,https://aka.doubaocdn.com/s/bv0qSfwVgG
89,AI 应用,AI 节点,金融合规自动审查,AI 合规审计,金融项目关键节点，AI 自动检查是否满足监管合规要求：风险评估完成、法务审批通过、数据安全等级标注。,AI 应用,金融,高管,合规审查 · 金融监管,https://aka.doubaocdn.com/s/DJabXgkph8
90,AI 应用,AI 节点,投资风险评估,AI 风险分析,投资项目立项前，AI 自动评估风险等级，分析市场环境、政策变化和财务指标，输出风险评估报告。,AI 应用,金融,高管,投资风险 · 智能评估,https://aka.doubaocdn.com/s/DJabXgkph8
91,AI 应用,AI 节点,反馈自动分类,AI 自动分类,客服收到用户反馈后，AI 自动判断是 Bug、需求还是咨询，秒级分类并路由到对应模块。,AI 应用,游戏,运营,语义分类 · 自动路由,https://aka.doubaocdn.com/s/OJkgxeTgKd
92,AI 应用,AI 节点,工单智能分配,AI 智能分配,新工单进入时，AI 根据技能标签和当前负载自动匹配最合适的处理人，避免忙闲不均。,AI 应用,互联网,项目经理,技能匹配 · 负载均衡,https://aka.doubaocdn.com/s/nvmVJKYDTY
93,AI 应用,AI 节点,线索自动评分,AI 线索评分,销售线索进入系统后，AI 根据企业规模、行业、行为数据自动评分，帮销售优先跟进高价值线索。,AI 应用,金融,销售,线索评分 · 优先级排序,https://aka.doubaocdn.com/s/Bx4o2nVU1J
94,AI 应用,AI 节点,缺陷自动分级,AI 缺陷分级,测试提交 Bug 后，AI 根据严重程度、影响范围和修复成本自动分级 P0/P1/P2，加速缺陷处理闭环。,AI 应用,游戏,测试,严重度分级 · 自动指派,https://aka.doubaocdn.com/s/CvvUzmrizE
95,AI 应用,AI 操作,迭代效能自动分析,AI 效能分析,每个迭代结束后，AI 自动分析交付速度、缺陷密度、需求变更率，生成趋势报告并与历史数据对比。,AI 应用,互联网,项目经理,效能分析 · 趋势对比,https://aka.doubaocdn.com/s/nvmVJKYDTY
96,AI 应用,AI 操作,销售漏斗自动分析,AI 销售分析,AI 自动分析销售漏斗各阶段转化率、滞留时长和流失原因，生成销售健康度报告。,AI 应用,金融,销售,销售漏斗 · 转化分析,https://aka.doubaocdn.com/s/Bx4o2nVU1J
97,AI 应用,AI 操作,项目周报自动生成,AI 报告生成,每周五，AI 自动汇总本周所有项目的进展、风险和关键决策，生成结构化周报，项目经理确认后即可发送。,AI 应用,教育,项目经理,报告生成 · 自动汇总,https://aka.doubaocdn.com/s/bv0qSfwVgG
98,AI 应用,AI 操作,内容效果自动复盘,AI 内容分析,内容发布后，AI 自动汇总多平台数据（播放量、互动率、转化率），生成内容效果复盘报告和改进建议。,AI 应用,零售,运营,内容复盘 · 多平台对比,https://aka.doubaocdn.com/s/Luby22MrZG
99,AI 应用,AI 操作,战略执行偏差分析,AI 战略分析,战略执行过程中，AI 自动对比目标与实际进展，识别偏差项并预警，生成战略执行健康度报告。,AI 应用,互联网,高管,战略分析 · 偏差预警,https://aka.doubaocdn.com/s/Rg1eTtTPwR
