"ID","供给类型","名称","主要工作目标","相关工作目标","原生分类","行业","角色","映射状态","映射依据"
"plugin-7494278203729543170","插件","计划表导入","规划与决策","协作与执行","其他、效率工具","通用","IT与管理员","待运营复核","依据名称、描述和原生分类匹配：planning、collaboration"
"plugin-7588047764200197318","插件","LTC 地理位置","客户与运营","","其他","销售与零售","销售与运营","待运营复核","依据名称、描述和原生分类匹配：customer"
"plugin-7530088643644620802","插件","字段明细","协作与执行","数据与自动化、质量与风控","设计工具、质量/保障、发版管理","通用","IT与管理员","待运营复核","依据名称、描述和原生分类匹配：collaboration、automation、risk"
"plugin-7539821598938595331","插件","组织架构管理","协作与执行","","效率工具","通用","IT与管理员","待运营复核","依据名称、描述和原生分类匹配：collaboration"
"plugin-7416670592859275292","插件","评审要素拦截","规划与决策","","API 授权","通用","全员","待运营复核","依据名称、描述和原生分类匹配：默认协作类"
"plugin-7553521788875456513","插件","Zadig DevOps","研发与交付","数据与自动化、质量与风控","效率工具、发版管理、DevOps","互联网与软件、专业服务","研发与测试、项目经理、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：development、automation、risk"
"plugin-7517187950809251843","插件","合同审核插件","协作与执行","客户与运营、质量与风控","审批管理","专业服务","全员","待运营复核","依据名称、描述和原生分类匹配：collaboration、customer、risk"
"plugin-7510066505535750172","插件","跟进评分插件","内容与知识","质量与风控、协作与执行","文档管理","内容与文娱、销售与零售","销售与运营","待运营复核","依据名称、描述和原生分类匹配：knowledge、risk、collaboration"
"plugin-7564312205543325700","插件","价值流管理","协作与执行","研发与交付","DevOps、效率工具","互联网与软件","研发与测试","待运营复核","依据名称、描述和原生分类匹配：collaboration、development"
"plugin-7520097777511628819","插件","合同内容解析插件","内容与知识","客户与运营","文档管理","专业服务、内容与文娱","销售与运营","待运营复核","依据名称、描述和原生分类匹配：knowledge、customer"
"plugin-7529436719375400964","插件","文件归档","内容与知识","质量与风控","文档管理、质量/保障、发版管理","通用","全员","待运营复核","依据名称、描述和原生分类匹配：knowledge、risk"
"plugin-7523038507869388803","插件","解决方案推荐插件","内容与知识","客户与运营","文档管理","通用","全员","待运营复核","依据名称、描述和原生分类匹配：knowledge、customer"
"plugin-7452902628876926978","插件","文件资源管理","内容与知识","规划与决策","文档管理","专业服务","管理者","待运营复核","依据名称、描述和原生分类匹配：knowledge、planning"
"plugin-7534923522064007170","插件","数据导出小助手","数据与自动化","内容与知识","文档管理","通用","IT与管理员","待运营复核","依据名称、描述和原生分类匹配：automation、knowledge"
"plugin-7553943395422666753","插件","组织架构插件","协作与执行","规划与决策、客户与运营","工单管理、审批管理、效率工具","销售与零售","管理者、项目经理、销售与运营、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：collaboration、planning、customer"
"plugin-7460533907000229890","插件","TA 的项目伙伴","协作与执行","","效率工具","专业服务","产品经理、项目经理","待运营复核","依据名称、描述和原生分类匹配：collaboration"
"plugin-7619706825012694210","插件","工单通","协作与执行","","工单管理、任务管理、效率工具","通用","项目经理","待运营复核","依据名称、描述和原生分类匹配：collaboration"
"plugin-7577670579906448345","插件","发票识别","内容与知识","数据与自动化、客户与运营","自动化、效率工具、AI","销售与零售","IT与管理员","待运营复核","依据名称、描述和原生分类匹配：knowledge、automation、customer"
"plugin-7637794442107456466","插件","智能体连接器(AAMP)","数据与自动化","","AI","通用","IT与管理员","待运营复核","依据名称、描述和原生分类匹配：automation"
"plugin-7553951745863614483","插件","数据同步插件","数据与自动化","内容与知识、协作与执行","文档管理、数据图表、效率工具","专业服务","项目经理、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：automation、knowledge、collaboration"
"plugin-7564703240827289603","插件","工时管理","规划与决策","质量与风控","质量/保障、效率工具","专业服务","管理者、项目经理","待运营复核","依据名称、描述和原生分类匹配：planning、risk"
"plugin-7615200044274191541","插件","Zadig DevOps+","协作与执行","研发与交付、数据与自动化","发版管理、DevOps、效率工具","互联网与软件、专业服务","研发与测试、项目经理、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：collaboration、development、automation"
"plugin-7392485421428899868","插件","工时资源管理","规划与决策","客户与运营、数据与自动化","效率工具","专业服务","管理者、项目经理、销售与运营","待运营复核","依据名称、描述和原生分类匹配：planning、customer、automation"
"plugin-7539843290552287251","插件","匹配客户画像","客户与运营","内容与知识、质量与风控","质量/保障","互联网与软件、内容与文娱、销售与零售","产品经理、销售与运营","待运营复核","依据名称、描述和原生分类匹配：customer、knowledge、risk"
"plugin-7637402078440164567","插件","项目文档归档管理","内容与知识","数据与自动化","画图工具","专业服务","项目经理、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：knowledge、automation"
"plugin-7553910438389366788","插件","企业信息补全插件","客户与运营","研发与交付、数据与自动化","自动化、效率工具","互联网与软件、销售与零售","研发与测试、销售与运营、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：customer、development、automation"
"plugin-7622638257733373106","插件","空间通-跨空间同步","协作与执行","数据与自动化","自动化、任务管理、效率工具","通用","项目经理、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：collaboration、automation"
"plugin-7661999631886273758","插件","流程导入小助手","协作与执行","数据与自动化、内容与知识","AI、效率工具、质量/保障","专业服务","产品经理、项目经理、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：collaboration、automation、knowledge"
"plugin-7538247206856671236","插件","Tab页面打开AccountPlan","内容与知识","客户与运营","文档管理","通用","全员","待运营复核","依据名称、描述和原生分类匹配：knowledge、customer"
"plugin-7350132568614141953","插件","风神 Aeolus BI 分析","数据与自动化","","API 授权","通用","管理者","待运营复核","依据名称、描述和原生分类匹配：automation"
"plugin-7554198988213092354","插件","解决方案推荐插件","客户与运营","内容与知识、数据与自动化","自动化、效率工具、AI","销售与零售","销售与运营、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：customer、knowledge、automation"
"plugin-7554194941044555795","插件","跟进评分插件","客户与运营","数据与自动化、质量与风控","自动化、效率工具、AI","销售与零售","销售与运营、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：customer、automation、risk"
"plugin-7554211104298139649","插件","线索质量评分插件","客户与运营","质量与风控","效率工具、AI","销售与零售","销售与运营","待运营复核","依据名称、描述和原生分类匹配：customer、risk"
"plugin-7554289523904233476","插件","合同解析插件","内容与知识","规划与决策、客户与运营","自动化、效率工具、AI","专业服务","IT与管理员","待运营复核","依据名称、描述和原生分类匹配：knowledge、planning、customer"
"plugin-7554289763419815938","插件","客户画像插件","客户与运营","数据与自动化、研发与交付","自动化、效率工具、AI","互联网与软件、销售与零售","管理者、产品经理、研发与测试、销售与运营、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：customer、automation、development"
"plugin-7553925001970401284","插件","AP文档打开插件","内容与知识","客户与运营","文档管理、效率工具","内容与文娱、销售与零售","产品经理、销售与运营","待运营复核","依据名称、描述和原生分类匹配：knowledge、customer"
"plugin-7586518606725434317","插件","地图数览","规划与决策","客户与运营、数据与自动化","效率工具","销售与零售","管理者、销售与运营","待运营复核","依据名称、描述和原生分类匹配：planning、customer、automation"
"plugin-7553947544387780610","插件","合同审核插件","质量与风控","内容与知识、客户与运营","文档管理、安全/监控、AI","专业服务","IT与管理员","待运营复核","依据名称、描述和原生分类匹配：risk、knowledge、customer"
"plugin-7629284504049634257","插件","产品研发管理","研发与交付","内容与知识","文档管理、设计工具、效率工具","互联网与软件","产品经理、研发与测试","待运营复核","依据名称、描述和原生分类匹配：development、knowledge"
"plugin-7554216062528389121","插件","舆情洞察插件","客户与运营","数据与自动化、质量与风控","安全/监控、效率工具、AI","内容与文娱、销售与零售","管理者、销售与运营、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：customer、automation、risk"
"plugin-7637022240722177219","插件","WBS PDF 导出","规划与决策","内容与知识、数据与自动化","效率工具","通用","IT与管理员","待运营复核","依据名称、描述和原生分类匹配：planning、knowledge、automation"
"plugin-7552836562205212700","插件","合同审核建议","内容与知识","客户与运营、质量与风控","文档管理","专业服务","全员","待运营复核","依据名称、描述和原生分类匹配：knowledge、customer、risk"
"plugin-7569591745810661378","插件","产品全生命周期管理（PLM）","内容与知识","研发与交付","文档管理、画图工具、设计工具","互联网与软件","产品经理","待运营复核","依据名称、描述和原生分类匹配：knowledge、development"
"plugin-7632211027085626299","插件","AI重复数据识别","数据与自动化","质量与风控","AI","通用","全员","待运营复核","依据名称、描述和原生分类匹配：automation、risk"
"plugin-7577667134102015162","插件","地图插件","研发与交付","数据与自动化","测试工具","互联网与软件","产品经理、研发与测试","待运营复核","依据名称、描述和原生分类匹配：development、automation"
"plugin-7413703946961305601","插件","李瑞雪外网1.0插件","内容与知识","","文档管理","通用","全员","待运营复核","依据名称、描述和原生分类匹配：knowledge"
"plugin-7581307270001134788","插件","控股关系架构树","规划与决策","","效率工具","通用","全员","待运营复核","依据名称、描述和原生分类匹配：默认协作类"
"plugin-7655220690127228115","插件","中企智能排期","规划与决策","质量与风控","质量/保障","通用","项目经理","待运营复核","依据名称、描述和原生分类匹配：planning、risk"
"plugin-7555689433633062915","插件","AI销售助手","客户与运营","数据与自动化","自动化、效率工具、AI","销售与零售","销售与运营、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：customer、automation"
"plugin-7577734973189262536","插件","战略落地管理引擎","规划与决策","","效率工具、AI","通用","管理者","待运营复核","依据名称、描述和原生分类匹配：planning"
"plugin-7581323335242484692","插件","目标拆解","规划与决策","协作与执行、数据与自动化","其他","通用","管理者、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：planning、collaboration、automation"
"plugin-7623047909507878068","插件","PDF数据授权","内容与知识","数据与自动化、质量与风控","文档管理","专业服务","项目经理、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：knowledge、automation、risk"
"plugin-7639990317827050424","插件","高远-飞书项目主数据同步","数据与自动化","协作与执行","效率工具","专业服务","项目经理、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：automation、collaboration"
"plugin-7593240243713625035","插件","编码生成","数据与自动化","","效率工具","通用","全员","待运营复核","依据名称、描述和原生分类匹配：automation"
"plugin-7654901198918667483","插件","高远-万能AI审核助手","质量与风控","协作与执行、数据与自动化","质量/保障、审批管理、AI","通用","全员","待运营复核","依据名称、描述和原生分类匹配：risk、collaboration、automation"
"plugin-7665164854352710608","插件","Agentic Delivery","研发与交付","客户与运营、质量与风控","DevOps、效率工具、AI","互联网与软件、专业服务、销售与零售","研发与测试、项目经理、销售与运营、IT与管理员","待运营复核","依据名称、描述和原生分类匹配：development、customer、risk"
"plugin-7668230514356046817","插件","复合字段数据导入","协作与执行","数据与自动化","效率工具","通用","IT与管理员","待运营复核","依据名称、描述和原生分类匹配：collaboration、automation"
"template-software-dev","模板","软件研发管理","研发与交付","规划与决策、协作与执行","软件研发","互联网与软件、专业服务","管理者、产品经理、研发与测试、项目经理","已人工映射","依据供给的核心任务人工映射"
"template-delivery","模板","软件项目交付管理","研发与交付","规划与决策、协作与执行","软件研发、交付","互联网与软件、专业服务、销售与零售","研发与测试、项目经理、销售与运营","已人工映射","依据供给的核心任务人工映射"
"template-game","模板","游戏研发全流程","研发与交付","规划与决策、协作与执行","游戏研发","互联网与软件、专业服务、内容与文娱","管理者、研发与测试、项目经理、销售与运营","已人工映射","依据供给的核心任务人工映射"
"template-live","模板","直播综合管理","客户与运营","规划与决策、内容与知识","运营、直播","专业服务、内容与文娱","管理者、项目经理、销售与运营","已人工映射","依据供给的核心任务人工映射"
"template-short-drama","模板","一站式短剧生产上线流程","客户与运营","规划与决策、内容与知识","运营、短剧","专业服务、内容与文娱","管理者、项目经理、销售与运营","已人工映射","依据供给的核心任务人工映射"
"template-dste","模板","DSTE 战略到执行","规划与决策","协作与执行、数据与自动化","DSTE、战略管理","专业服务","管理者、项目经理","已人工映射","依据供给的核心任务人工映射"
"template-feedback","模板","反馈全流程追踪管理","客户与运营","协作与执行、数据与自动化","ITR、反馈管理","互联网与软件","产品经理、项目经理","已人工映射","依据供给的核心任务人工映射"
"template-creator","模板","创作者运营中心","客户与运营","内容与知识、研发与交付","运营、内容创作","专业服务、内容与文娱","研发与测试、项目经理、销售与运营","已人工映射","依据供给的核心任务人工映射"
"template-saas-ltc","模板","软件企服 LTC 全流程管理","客户与运营","协作与执行、研发与交付","LTC、销售管理","互联网与软件、专业服务、销售与零售","产品经理、项目经理、销售与运营","已人工映射","依据供给的核心任务人工映射"
"template-content-production","模板","内容制作全流程","内容与知识","协作与执行、研发与交付","内容制作、运营","内容与文娱","研发与测试、项目经理、销售与运营","已人工映射","依据供给的核心任务人工映射"
"solution-feedback","解决方案","客户反馈管理全流程数字化","客户与运营","协作与执行、数据与自动化","客户反馈、ITSM","销售与零售","产品经理、项目经理、销售与运营","已人工映射","依据供给的核心任务人工映射"
"solution-zadig","解决方案","Zadig DevOps 一体化解决方案","研发与交付","协作与执行","DevOps、全球交付","互联网与软件、专业服务","产品经理、研发与测试、项目经理","已人工映射","依据供给的核心任务人工映射"
"solution-timesheet","解决方案","工时资源管理","规划与决策","数据与自动化","项目管理、人力资源","专业服务","管理者、项目经理","已人工映射","依据供给的核心任务人工映射"
"solution-ltc","解决方案","翼云销 LTC 解决方案","客户与运营","协作与执行、研发与交付","LTC、销售管理","专业服务、销售与零售","项目经理、销售与运营","已人工映射","依据供给的核心任务人工映射"
